d12,What’s the Current Issue They Face?
1,Recent inﬁdelity or suspicion thereof
2,A rival moving in on one of them
3,One made a mistake that threatens the other
4,One takes a dire risk for the sake of the other
5,"A sense of lack, that something’s missing"
6,A recent furious argument over something
7,One is being asked to sacriﬁce a dear thing
8,They cannot agree on a future path
9,One made a mistake that shamed the other
10,A relative is interfering with the two
11,They’re being separated by circumstances
12,A shared dream is being threatened